,id,name,artists,year,release_date,popularity,duration_ms,acousticness,danceability,energy,valence,tempo,mode,key,playcount,listeners,period_5yr,similarity_to_first5,similarity_to_cumulative,similarity_to_period
0,0Om9WAB5RS09L80DyOfTNa,Tim McGraw,Taylor Swift,2006,10/24/06,60,232107,0.5920902593008056,0.47603305785123967,0.4483173076923077,0.42103498379345033,0.05379942709907727,1,0,5517746,555058,2005,0.7222831611592665,1.0,0.7589544102195259
1,1spLfUJxtyVyiKKTegQ2r4,A Perfectly Good Heart,Taylor Swift,2006,10/24/06,44,220147,0.0033920373134405228,0.315702479338843,0.7608173076923077,0.2455571700011177,0.630176620460336,1,4,2204951,266183,2005,0.789258327980646,0.5918503036537837,0.8179247847801161
2,1nuk1yTZO3zR8XB8Ofk9q3,Picture To Burn,Taylor Swift,2006,10/24/06,57,175280,0.20787224596545337,0.6115702479338844,0.8966346153846154,0.8301106516150666,0.266823566668106,1,7,8831160,715060,2005,0.8424355113090721,0.7198637086386177,0.7551520300249099
3,16MVSD0mGI4RMQT83Qzm69,Should've Said No,Taylor Swift,2006,10/24/06,58,242200,0.010406848763343336,0.3041322314049587,0.7920673076923078,0.4735665586230021,0.7156223460148838,0,4,6402329,567309,2005,0.8111971323057757,0.7716401357093126,0.7939153272324457
4,32mVHdy0bi1XKgr0ajsBlG,Picture To Burn,Taylor Swift,2006,10/24/06,61,173067,0.17800006798495677,0.6049586776859505,0.9122596153846154,0.8636414440594613,0.26667242446488454,1,7,8831160,715060,2005,0.8292373968244084,0.7865467460305106,0.7402341924025666
5,2QrQCMel6v2JiLxqrg4p2O,Mary's Song (Oh My My My),Taylor Swift,2006,10/24/06,50,213080,0.018029404523883838,0.18347107438016536,0.6117788461538461,0.36403263663797925,0.04581767931942825,1,2,3857282,358372,2005,0.7590904922226668,0.7590904922226668,0.7902256467111906
6,0T2kNwYw4Z7rhziNRNsjfO,Should've Said No,Taylor Swift,2006,10/24/06,52,244080,0.009922713465038738,0.30578512396694213,0.7692307692307693,0.5383927573488321,0.7154136258294828,0,4,6402329,567309,2005,0.816139871396796,0.8066204986273645,0.7905360453342517
7,7zMcNqs55Mxer82bvZFkpg,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006,10/24/06,62,203040,0.29645870480416725,0.543801652892562,0.359375,0.269028724712194,0.22613032776266354,1,10,4245409,438959,2005,0.758018906853952,0.7613681556226563,0.8433595543966508
8,5OOd01o2YS1QFwdpVLds3r,Invisible,Taylor Swift,2006,10/24/06,46,203227,0.6559549156729018,0.5289256198347108,0.3317307692307693,0.2064379121493238,0.19768680456593396,1,7,2735458,302850,2005,0.6639920430097966,0.6839436559877912,0.7296100465548386
9,7an1exwMnfYRcdVQm0yDev,Cold As You,Taylor Swift,2006,10/24/06,48,239013,0.2233233725070895,0.20826446280991737,0.4375,0.23773331843075893,0.7702782455988828,1,5,3896539,392477,2005,0.7080996260482999,0.7435922012702878,0.7626271377442432
